Timestamp,Choose the ingredients: 
9/20/2020 21:11:47,"Cheese, Lettuce, Onions, Bacon, Mushrooms, Ketchup"
9/20/2020 21:13:10,"Cheese, Lettuce, Tomato, Bacon, Ketchup, Mustard, BBQ Sauce"
9/20/2020 21:13:20,"Cheese, Lettuce, Tomato, Pickles, Relish"
9/20/2020 21:16:10,"Cheese, Lettuce, Onions, Eggs, Chill, Chopped Chillies, Jalapenos, Ketchup, Mustard, Ranch, Mayo, Honey Mustard, BBQ Sauce, Hot Sauce"
9/20/2020 21:22:33,"Cheese, Pickles, Ketchup, Mustard, Mayo"
9/20/2020 21:23:21,"Cheese, Pickles, Ketchup, Mustard, Mayo"
9/20/2020 21:41:03,"Cheese, Lettuce, Pickles"
9/20/2020 21:44:57,"Lettuce, Tomato, Avacado, Bacon, Jalapenos"
9/20/2020 21:48:04,"Cheese, Lettuce, Pickles, Onions, Bacon, Ketchup, Mayo, Spicy mustard"
9/20/2020 21:53:15,"Cheese, Lettuce, Onions, Avacado, Bacon, Ketchup, Mayo"
9/20/2020 23:08:23,"Cheese, Lettuce, Tomato, Pickles, Onions, Chopped Chillies, Jalapenos, Ketchup, Mustard, Ranch, Honey Mustard, BBQ Sauce"
9/20/2020 23:21:59,"Cheese, Lettuce, Tomato, Bacon, Jalapenos, Honey Mustard, Burger patty"
9/20/2020 23:22:51,"Cheese, Lettuce, Onions, Bacon, Mushrooms, Ketchup"
9/21/2020 10:17:24,"Cheese, Lettuce, Onions, Avacado, Bacon, Eggs, Jalapenos, Hot Sauce"
9/21/2020 15:36:59,"Cheese, Lettuce, Pickles"
9/21/2020 19:42:48,"Cheese, Ketchup"
9/21/2020 20:30:16,"Cheese, Avacado, Bacon, Mushrooms, Eggs, Ketchup"
9/21/2020 20:30:53,"Cheese, Bacon, Eggs"
9/21/2020 20:31:03,"Lettuce, Tomato, Onions, Bacon"
9/21/2020 20:31:21,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Mushrooms, Ketchup, Mustard, Mayo"
9/21/2020 20:31:48,"Cheese, Lettuce, Tomato, Bacon, Mushrooms, Mustard"
9/21/2020 20:31:52,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo, BBQ Sauce"
9/21/2020 20:32:12,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard, Mayo"
9/21/2020 20:32:17,"Cheese, Lettuce, Tomato, Onions, Thousand island dressing"
9/21/2020 20:32:31,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Mushrooms, Ketchup, Mustard"
9/21/2020 20:32:35,"Cheese, Pickles, Avacado, Mushrooms, Ketchup"
9/21/2020 20:32:40,"Cheese, Lettuce, Tomato, Onions, Bacon, Ketchup, Mayo"
9/21/2020 20:32:54,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/21/2020 20:33:01,"Cheese, Lettuce, Pickles, Ketchup"
9/21/2020 20:33:57,"Cheese, Lettuce, Tomato, Avacado, Bacon"
9/21/2020 20:34:50,"Pickles, Ketchup"
9/21/2020 20:35:10,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mustard, Mayo"
9/21/2020 20:35:47,"Cheese, Bacon, Ketchup"
9/21/2020 20:36:13,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ketchup, Mayo"
9/21/2020 20:36:21,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo"
9/21/2020 20:36:31,"Cheese, Pickles, Onions, Bacon, Jalapenos, Ketchup, Mayo, Hot Sauce"
9/21/2020 20:36:38,"Cheese, Chopped Chillies, Mayo"
9/21/2020 20:37:04,"Cheese, Avacado, Ketchup"
9/21/2020 20:40:26,"Cheese, Avacado, Bacon, Mushrooms, Mustard"
9/21/2020 20:40:31,"Cheese, Pickles, Onions, Bacon, Ketchup, Mustard"
9/21/2020 20:40:50,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard, Mayo"
9/21/2020 20:40:58,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup"
9/21/2020 20:41:56,"Cheese, Onions, Avacado, Mushrooms, Chill, Ketchup, Mayo, Relish"
9/21/2020 20:41:57,"Cheese, Onions, Mushrooms, Ketchup"
9/21/2020 20:42:26,"Cheese, Pickles, Onions, Bacon, Chill"
9/21/2020 20:42:30,"Cheese, Lettuce, Onions, Chill, Ketchup, Mayo"
9/21/2020 20:43:04,"Cheese, Lettuce, Onions, Avacado, Bacon, Mushrooms, Chill, Ketchup"
9/21/2020 20:43:31,"Cheese, Onions, Avacado, Chill, Ketchup, Relish"
9/21/2020 20:43:58,"Cheese, Lettuce, Onions, Chill, Ketchup"
9/21/2020 20:44:15,"Cheese, Lettuce, Tomato, Onions, Ketchup, Mayo"
9/21/2020 20:44:17,"Cheese, Onions, Ketchup, Mayo"
9/21/2020 20:44:53,"Cheese, Lettuce, Tomato, Avacado, Mushrooms, Ketchup, Ranch"
9/21/2020 20:45:13,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Mayo"
9/21/2020 20:45:27,"Cheese, Lettuce, Tomato, Pickles, Onions, Relish, Honey Mustard, BBQ Sauce"
9/21/2020 20:45:29,"Cheese, Lettuce, Tomato, Onions, Ketchup, Mustard"
9/21/2020 20:46:47,"Cheese, Lettuce, Pickles, Onions, Bacon, A1 Sauce"
9/21/2020 20:49:09,Cheese
9/21/2020 20:49:19,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, Mayo"
9/21/2020 20:51:05,"Cheese, Lettuce, Tomato, Pickles, Bacon, Mushrooms, Ketchup, Mayo"
9/21/2020 20:51:20,"Cheese, Lettuce, Tomato, Onions, Mayo, Potato chips"
9/21/2020 20:51:22,"Cheese, Lettuce, Tomato, Chopped Chillies, Ketchup, Mustard, Mayo"
9/21/2020 20:51:39,"Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ranch"
9/21/2020 20:51:55,"Onions, Ketchup"
9/21/2020 20:52:25,"Cheese, Lettuce, Tomato, Bacon, Ketchup, Mayo"
9/21/2020 20:53:17,"Cheese, Pickles, Bacon, Mushrooms, Ketchup, Mustard"
9/21/2020 20:54:58,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mustard, Mayo, Aioli"
9/21/2020 20:55:39,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Mushrooms, Ketchup, Mustard, Mayo"
9/21/2020 20:58:57,"Cheese, Tomato, Onions, Ketchup, Mayo"
9/21/2020 21:01:18,"Cheese, Bacon, Jalapenos, BBQ Sauce"
9/21/2020 21:02:34,"Cheese, Pickles, Onions, Mushrooms, Ketchup, Mustard, Mayo"
9/21/2020 21:06:39,"Cheese, Lettuce, Tomato, Bacon, Mayo"
9/21/2020 21:06:51,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Mushrooms, Ketchup, Mustard, Mayo, BBQ Sauce"
9/21/2020 21:09:32,"Cheese, Avacado, Bacon"
9/21/2020 21:11:14,"Cheese, Tomato, Ketchup, Mayo, Extra cheese"
9/21/2020 21:11:53,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Chipotle sauce "
9/21/2020 21:15:09,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard"
9/21/2020 21:15:22,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, Mayo"
9/21/2020 21:16:26,"Onions, Bacon, Ketchup"
9/21/2020 21:16:43,"Ketchup, Relish"
9/21/2020 21:18:15,"Lettuce, Tomato, Pickles, Mayo"
9/21/2020 21:23:55,"Cheese, Pickles, Onions, Ketchup, Mayo"
9/21/2020 21:37:11,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Ketchup"
9/21/2020 21:37:25,"Cheese, Lettuce, Pickles, Onions, Bacon, Ketchup, Mustard, Mayo"
9/21/2020 21:37:40,"Cheese, Tomato, Pickles, Bacon, Mushrooms, Ketchup, Mayo"
9/21/2020 21:38:00,"Cheese, Tomato, Pickles, Bacon, Mushrooms, Mayo"
9/21/2020 21:38:46,"Cheese, Lettuce, Tomato, Ketchup, Mayo"
9/21/2020 21:38:49,"Cheese, Lettuce, Bacon, Mushrooms, Eggs, Jalapenos, Ketchup, Mayo, BBQ Sauce"
9/21/2020 21:38:52,"Cheese, Avacado, Bacon, Mushrooms, Ketchup"
9/21/2020 21:40:41,"Cheese, Lettuce, Pickles, Bacon, Mushrooms, Mayo, BBQ Sauce"
9/21/2020 21:40:44,"Cheese, Onions, Eggs, Mayo"
9/21/2020 21:40:59,"Cheese, Bacon, BBQ Sauce"
9/21/2020 21:41:12,"Cheese, Pickles, Bacon, Ketchup, Mayo"
9/21/2020 21:41:13,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mustard"
9/21/2020 21:42:10,"Lettuce, Tomato, Pickles, Avacado, Bacon"
9/21/2020 21:43:13,"Cheese, Lettuce, Bacon, Ketchup, Mayo"
9/21/2020 21:43:39,"Cheese, Lettuce, Tomato, Avacado, Bacon, Ketchup, Mayo"
9/21/2020 21:44:18,"Cheese, Tomato, Avacado, Bacon, Mustard"
9/21/2020 21:44:27,"Cheese, Lettuce, Tomato, Pickles, Avacado, Mushrooms"
9/21/2020 21:45:05,"Cheese, Pickles, Bacon, Ketchup, Mustard"
9/21/2020 21:45:05,"Cheese, Lettuce, Tomato, Onions, Mushrooms, Ketchup, Mayo"
9/21/2020 21:45:09,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Mushrooms, Honey Mustard"
9/21/2020 21:45:21,"Cheese, Lettuce, Pickles, Onions, Avacado, Bacon, Jalapenos, Mustard, Mayo, Veggie Burger "
9/21/2020 21:45:29,"Cheese, Lettuce, Pickles, Onions, Bacon, Mushrooms"
9/21/2020 21:45:31,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Ketchup, Mustard"
9/21/2020 21:45:48,"Cheese, Lettuce, Pickles, Bacon, Ketchup, Mustard, Mayo"
9/21/2020 21:48:32,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/21/2020 21:49:07,"Cheese, Lettuce, Tomato, Pickles, Onions, Mushrooms, Ketchup, Mustard, Mayo, Relish"
9/21/2020 21:50:53,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/21/2020 21:51:01,"Cheese, Lettuce, Tomato, Bacon, Mushrooms, Ketchup"
9/21/2020 21:54:16,"Cheese, Onions, Bacon, Mushrooms, BBQ Sauce"
9/21/2020 21:55:57,"Cheese, Bacon, BBQ Sauce"
9/21/2020 21:56:15,"Cheese, Lettuce, Tomato, Onions, Bacon, Ketchup, Mayo, Honey truffles"
9/21/2020 21:56:59,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Ketchup, Mustard"
9/21/2020 21:57:21,"Cheese, Tomato, Onions, Ketchup, Mustard"
9/21/2020 21:57:54,"Cheese, Lettuce, Tomato, Avacado, Mushrooms"
9/21/2020 21:58:29,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Chopped Chillies, Jalapenos"
9/21/2020 21:58:53,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Mushrooms, BBQ Sauce"
9/21/2020 21:58:54,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, BBQ Sauce"
9/21/2020 22:00:15,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ketchup, Mustard, Mayo"
9/21/2020 22:00:26,"Cheese, Pickles, Onions, Ketchup, Mayo"
9/21/2020 22:01:24,"Cheese, Lettuce, Tomato, Avacado, Bacon, Ketchup"
9/21/2020 22:02:56,"Lettuce, Tomato, Avacado, Bacon, Mayo"
9/21/2020 22:03:07,"Cheese, Avacado, Bacon, Eggs, Ketchup"
9/21/2020 22:04:03,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo, Relish"
9/21/2020 22:06:08,"Cheese, Lettuce"
9/21/2020 22:06:47,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo"
9/21/2020 22:08:42,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mustard, Mayo, BBQ Sauce"
9/21/2020 22:15:05,"Cheese, Lettuce, Tomato, Onions"
9/21/2020 22:15:46,"Cheese, Lettuce, Tomato, Onions"
9/21/2020 22:19:14,"Cheese, Lettuce, Pickles, BBQ Sauce"
9/21/2020 22:19:20,"Cheese, Tomato, Pickles, Bacon, Mushrooms, Mayo"
9/21/2020 22:22:28,"Cheese, Lettuce, Tomato, Pickles, Bacon, Mushrooms, Eggs, Ketchup, Mayo"
9/21/2020 22:31:52,"Cheese, Lettuce, Pickles, Avacado, Honey Mustard"
9/21/2020 22:32:52,"Cheese, Lettuce, Tomato, Pickles, Mayo"
9/21/2020 22:35:57,"Cheese, Pickles, Ketchup"
9/21/2020 22:36:59,"Lettuce, Pickles, Onions, Bacon, Ketchup, Mustard, Mayo"
9/21/2020 22:37:14,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup"
9/21/2020 22:40:34,"Cheese, Lettuce, Pickles, Bacon, Ketchup"
9/21/2020 22:44:07,"Cheese, Bacon, Ketchup"
9/21/2020 22:47:42,"Cheese, Lettuce, Pickles, Bacon, Ketchup, Mustard"
9/21/2020 22:48:53,"Cheese, Onions, Avacado, Bacon, Mushrooms, Ranch"
9/21/2020 22:50:02,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Ketchup, Mustard"
9/21/2020 22:50:25,"Cheese, Lettuce, Tomato, Onions, Mushrooms, Mayo"
9/21/2020 22:55:53,"Cheese, Lettuce, Pickles, Onions, Avacado, Jalapenos, Hot Sauce"
9/21/2020 23:00:04,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Mushrooms, Eggs, Ketchup, Mustard, Mayo, Hot Sauce"
9/21/2020 23:07:17,"Lettuce, Tomato, Pickles, Bacon, Ketchup, Mayo"
9/21/2020 23:09:22,"Cheese, Tomato, Avacado, Eggs, Ketchup, Mayo"
9/21/2020 23:11:20,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mustard"
9/21/2020 23:11:24,"Cheese, Tomato, Pickles, Bacon, Ketchup"
9/21/2020 23:13:15,"Cheese, Bacon, Ketchup, Mustard"
9/21/2020 23:13:48,"Cheese, Lettuce, Tomato, Pickles, Avacado, Mushrooms, Mayo"
9/21/2020 23:22:04,"Cheese, Lettuce, Tomato, Onions, Bacon, Mushrooms, Eggs, Jalapenos"
9/21/2020 23:35:50,"Cheese, Lettuce, Pickles, Ketchup, Mayo"
9/21/2020 23:50:53,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mustard, Mayo, Relish"
9/21/2020 23:58:30,"Cheese, Tomato, Onions, Bacon, Ketchup, Mayo"
9/22/2020 0:08:55,"Cheese, Ketchup"
9/22/2020 0:26:06,"Cheese, Lettuce, Pickles, Onions, Bacon, Mushrooms, Eggs, Jalapenos, Hot Sauce"
9/22/2020 0:27:24,"Cheese, Avacado, Bacon, Mushrooms, Ketchup, Mayo"
9/22/2020 0:46:28,"Cheese, Lettuce, Tomato, Onions, Avacado, Bacon, Mushrooms, Ketchup"
9/22/2020 1:50:10,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Jalapenos, Ketchup, Ranch, Mayo, Hot Sauce"
9/22/2020 2:08:08,"Cheese, Avacado, Bacon, Eggs"
9/22/2020 4:13:49,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Mustard"
9/22/2020 4:45:10,"Cheese, Lettuce, Bacon, Eggs"
9/22/2020 5:08:03,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, Mustard, Mayo"
9/22/2020 5:09:12,"Cheese, Lettuce, Tomato, Pickles, Onions, Mayo"
9/22/2020 5:09:55,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup"
9/22/2020 5:23:36,"Cheese, Lettuce, Tomato, Onions, Mayo"
9/22/2020 5:33:47,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard, Mayo"
9/22/2020 5:33:55,"Cheese, Lettuce, Tomato, Onions, Bacon, Mushrooms, Ketchup, Mayo"
9/22/2020 5:34:09,"Cheese, Onions, Mushrooms, Mayo"
9/22/2020 5:37:19,"Cheese, Lettuce, Tomato, Pickles, Onions"
9/22/2020 5:41:21,"Cheese, Lettuce, Tomato, Onions, Mustard, Mayo"
9/22/2020 5:51:58,"Cheese, Lettuce, Tomato, Onions, Ketchup, Mayo"
9/22/2020 6:00:41,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard"
9/22/2020 6:37:46,"Onions, Ketchup"
9/22/2020 6:39:18,"Cheese, Lettuce, Tomato, Onions, Avacado"
9/22/2020 6:39:57,"Cheese, Lettuce, Tomato, Pickles, Avacado"
9/22/2020 6:41:41,"Cheese, Lettuce, Tomato, Onions, Mushrooms, Ketchup, Mayo"
9/22/2020 6:43:04,"Lettuce, Pickles, Onions, Ketchup, Mustard"
9/22/2020 6:43:33,"Lettuce, Tomato, Onions, Ketchup, Mayo"
9/22/2020 6:43:47,"Cheese, Lettuce, Tomato, Onions, Ketchup, Mayo"
9/22/2020 6:45:25,"Cheese, Lettuce, Tomato, Bacon"
9/22/2020 6:49:25,"Cheese, Lettuce, Tomato, Avacado, Mushrooms, Ketchup, Mayo, Mine is a veggie burger. Good luck with your survey, Angel!"
9/22/2020 6:52:57,"Cheese, Lettuce, Mayo, This is Colbyâ€™s burger."
9/22/2020 7:08:35,"Cheese, Pickles, Onions, Ketchup, Mayo"
9/22/2020 7:10:21,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mayo"
9/22/2020 7:17:30,"Cheese, Lettuce, Eggs, Ketchup"
9/22/2020 7:19:56,"Cheese, Lettuce, Tomato, Ketchup"
9/22/2020 7:44:29,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mustard"
9/22/2020 7:52:48,"Cheese, Lettuce, Tomato, Bacon, Ketchup"
9/22/2020 8:12:04,"Cheese, Lettuce, Mayo"
9/22/2020 8:17:28,"Cheese, Tomato, Onions, Avacado, Bacon, Mushrooms"
9/22/2020 8:17:29,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Jalapenos, Ketchup, Mayo"
9/22/2020 8:17:52,"Cheese, Tomato, Onions, Mushrooms, Ketchup, Mayo"
9/22/2020 8:18:01,"Cheese, Tomato, Onions, Avacado, Bacon, Mushrooms"
9/22/2020 8:25:21,"Cheese, Pickles, Onions, Ketchup, Mayo"
9/22/2020 8:30:31,"Lettuce, Tomato, Ketchup, Relish"
9/22/2020 8:41:04,"Cheese, Tomato, Pickles, Bacon, Mayo"
9/22/2020 8:49:08,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/22/2020 8:54:05,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ketchup, Mayo"
9/22/2020 9:01:33,"Cheese, Lettuce, Pickles, Onions, Bacon, Ketchup, Mayo, BBQ Sauce"
9/22/2020 9:05:03,"Tomato, Onions, Avacado, Mayo"
9/22/2020 9:09:00,"Cheese, Lettuce, Tomato, Pickles, Bacon, Mushrooms, Ketchup, Mustard, Ranch, Mayo, BBQ Sauce"
9/22/2020 9:29:32,"Cheese, Lettuce, Tomato, Pickles, Avacado, Bacon, Mushrooms, Mayo, Relish"
9/22/2020 10:26:14,"Cheese, Lettuce, Tomato, Onions, Mayo"
9/22/2020 10:27:49,"Cheese, Lettuce, Onions"
9/22/2020 10:33:52,"Cheese, Onions, Bacon, Ketchup, Mustard, Mayo"
9/22/2020 11:20:48,Cheese
9/22/2020 11:33:05,"Tomato, Pickles, Bacon, Ketchup, Ranch"
9/22/2020 11:35:48,"Cheese, Tomato, Onions, Mushrooms, Ketchup"
9/22/2020 11:43:19,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/22/2020 13:58:45,"Cheese, Lettuce, Tomato, Pickles, Onions, Mayo"
9/22/2020 14:05:04,"Cheese, Tomato, Pickles, Ketchup, Mustard, Mayo"
9/22/2020 14:13:43,"Cheese, Lettuce, Tomato, Bacon, Ketchup, Mayo"
9/22/2020 14:28:49,"Cheese, Lettuce, Pickles, Bacon, Ketchup, Mustard"
9/22/2020 15:03:50,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, Mayo"
9/22/2020 15:36:43,"Cheese, Lettuce, Pickles, Avacado, Bacon, Ketchup"
9/22/2020 16:51:05,"Lettuce, Tomato, Avacado, Ranch"
9/22/2020 17:11:33,"Cheese, Tomato, Avacado, BBQ Sauce"
9/22/2020 17:16:59,"Cheese, Pickles, Ketchup, Mustard, Mayo"
9/22/2020 17:18:56,"Cheese, Tomato, Onions, Mushrooms, Mayo, Hamburger patty"
9/22/2020 17:25:17,"Cheese, Lettuce, Onions, Bacon, BBQ Sauce"
9/22/2020 17:40:22,"Tomato, Onions, Avacado, Hot Sauce"
9/22/2020 18:34:32,"Cheese, Lettuce, Onions, Bacon, Mushrooms"
9/22/2020 18:52:13,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ketchup, Mustard"
9/22/2020 18:55:01,"Cheese, Lettuce, Tomato, Pickles, Avacado, Bacon"
9/22/2020 19:35:14,"Cheese, Lettuce, Tomato, Onions, Relish"
9/22/2020 19:36:47,"Cheese, Lettuce, Tomato, Pickles, Onions, Mushrooms, Ketchup"
9/22/2020 20:07:29,"Cheese, Ketchup"
9/22/2020 20:36:20,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mayo"
9/22/2020 20:59:56,"Cheese, Pickles, Bacon, Mushrooms, Ketchup, Mustard"
9/22/2020 22:59:32,"Cheese, Lettuce, Onions, Avacado, Mushrooms, Ranch"
9/23/2020 7:55:58,"Cheese, Lettuce, Tomato, Pickles, Bacon, Ketchup, Mustard"
9/23/2020 8:09:22,"Cheese, Lettuce, Tomato, Onions, Ketchup, Mustard"
9/23/2020 12:40:13,"Cheese, Lettuce, Pickles, Onions, Bacon"
9/23/2020 12:40:26,"Cheese, Lettuce, Pickles, Onions, Bacon"
9/23/2020 19:35:17,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Eggs, Ketchup, Mustard"
9/23/2020 20:06:03,"Cheese, Tomato, Onions, Bacon, Ketchup, Mayo"
9/23/2020 20:50:19,"Cheese, Pickles, Ketchup"
9/23/2020 22:38:16,"Cheese, Lettuce, Tomato, Onions, Avacado, Bacon, Ketchup, Mayo"
9/24/2020 18:59:08,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Hot Sauce"
10/3/2020 0:01:08,"Cheese, Pickles, Ketchup, Mustard, Mayo"
10/3/2020 12:24:47,"Cheese, Pickles, Ketchup, Mustard, Mayo"